ID,Main,Faction,Server,Role,Class,Race,Max,Type
085,Female,Both equally,PvE,DPS;Tank;Healer,Death Knight;Demon Hunter;Hunter;Paladin;Priest,Draenei;Worgen;Blood Elf,5,Straight woman
086,Female,Alliance,PvE,DPS,Paladin,Draenei,2,Bi female
087,Female,Alliance,PvP,DPS,Hunter;Priest,Human;Draenei,3,Bi female
088,Both equally,Alliance,PvE,DPS;Tank;Healer,Hunter;Mage;Monk;Priest;Shaman,Human;Night Elf,9,Straight man
089,Male,Alliance,PvE;PvP,Healer,Paladin,Draenei,3,Straight man
090,Both equally,Both equally,RP,DPS,Demon Hunter;Druid;Hunter,Human;Night Elf;Blood Elf,2,Straight other
091,Female,Horde,PvE;PvP,DPS;Healer,Druid;Paladin;Warlock,Night Elf;Draenei;Blood Elf,1,Bi female
092,Female,Alliance,PvE,Healer,Priest,Draenei,2,Straight woman
093,Female,Alliance,PvE,DPS,Druid,Night Elf,1,Bi female
094,Female,Alliance,PvE,DPS,Rogue,Night Elf,0,Bi female
095,Female,Alliance,PvP,DPS,Druid,Night Elf,4,Bi female
096,Female,Horde,PvE,DPS;Tank;Healer,Death Knight;Druid;Hunter,Night Elf;Blood Elf,4,Gay woman
097,Female,Alliance,PvP;RP,DPS;Tank,Death Knight;Demon Hunter;Druid;Hunter,Night Elf;Draenei;Troll;Blood Elf,0,Bi male
098,Female,Horde,PvP,DPS;Healer,Druid;Priest,Undead;Blood Elf,4,Bi female
099,Female,Alliance,RP,DPS,Monk;Paladin,Human;Pandaren,2,Bi female
100,Female,Alliance,PvE,DPS;Healer,Hunter;Monk,Night Elf;Draenei,2,Gay woman
