ID,Gender,Sexuality,Age,Country
001,Female,Bi/Pan,18 to 30,USA
002,Other,Gay,18 to 30,Indonesia
003,Female,Bi/Pan,18 to 30,USA
004,Male,Gay,18 to 30,England
005,Male,Straight,18 to 30,usa
006,Female,Bi/Pan,18 to 30,England
007,Male,Straight,18 to 30,Russian Federation
008,Female,Bi/Pan,18 to 30,
009,Other,Bi/Pan,18 to 30,USA
010,Female,Gay,31 to 42,USA
011,Male,Gay,18 to 30,South Africa
012,Male,Straight,31 to 42,USA
013,Male,Straight,43 to 55,USA
014,Male,Straight,31 to 42,USA
015,Female,Bi/Pan,18 to 30,USA
016,Female,Straight,43 to 55,USA
017,Male,Bi/Pan,18 to 30,USA
018,Female,Gay,18 to 30,USA
019,Female,Gay,18 to 30,USA
020,Male,Gay,Under 18,USA
021,Female,Gay,18 to 30,Hungary
022,Other,Bi/Pan,18 to 30,USA
023,Female,Bi/Pan,31 to 42,United Kingdom
024,Female,Straight,Under 18,USA
025,Female,Gay,18 to 30,Ireland
026,Female,Bi/Pan,Under 18,usa
027,Female,Straight,Under 18,USA
028,Female,Bi/Pan,Under 18,USA
029,Male,Bi/Pan,Under 18,USA
030,Other,Gay,18 to 30,USA
031,Male,Gay,18 to 30,USA
032,Other,Bi/Pan,18 to 30,USA
033,Male,Straight,18 to 30,USA
034,Female,Gay,Under 18,USA
035,Female,Gay,18 to 30,USA
036,Female,Bi/Pan,18 to 30,USA
037,Male,Bi/Pan,18 to 30,Chile
038,Male,Bi/Pan,18 to 30,USA
039,Female,Straight,18 to 30,
040,Other,Bi/Pan,Under 18,USA
041,Female,Bi/Pan,Under 18,USA
042,Female,Bi/Pan,Under 18,USA
043,Female,Gay,18 to 30,Canada
044,Female,Bi/Pan,18 to 30,USA
045,Female,Bi/Pan,18 to 30,USA
046,Female,Bi/Pan,Under 18,USA
047,Other,Bi/Pan,18 to 30,usa
048,Male,Bi/Pan,18 to 30,USA
049,Other,Bi/Pan,18 to 30,USA
050,Other,Bi/Pan,18 to 30,USA
051,Male,Straight,18 to 30,
052,Female,Bi/Pan,Under 18,The Netherlands
053,Female,Bi/Pan,18 to 30,Finland
054,Female,Bi/Pan,18 to 30,Norway
055,Male,Straight,18 to 30,Argentina
056,Female,Straight,18 to 30,USA
057,Female,Straight,18 to 30,Belgium
058,Male,Gay,18 to 30,Rom̢nia
059,Male,Gay,Under 18,USA
060,Female,Gay,18 to 30,USA
061,Female,Bi/Pan,18 to 30,usa
062,Other,Gay,Under 18,USA
063,Female,Gay,18 to 30,USA
064,Female,Straight,31 to 42,USA
065,Male,Bi/Pan,18 to 30,Australia
066,Female,Bi/Pan,18 to 30,
067,Female,Bi/Pan,18 to 30,Italy
068,Male,Bi/Pan,Under 18,France
069,Female,Straight,Under 18,England
070,Other,Gay,18 to 30,Usa
071,Other,Gay,18 to 30,USA
072,Female,Bi/Pan,18 to 30,USA
073,Male,Bi/Pan,Under 18,United Kingdom
074,Female,Straight,Under 18,Canada
075,Male,Bi/Pan,18 to 30,USA
076,Female,Bi/Pan,18 to 30,USA
077,Female,Gay,18 to 30,USA
078,Female,Bi/Pan,31 to 42,USA
079,Female,Straight,18 to 30,Philippines
080,Male,Gay,18 to 30,Finland
081,Female,Straight,18 to 30,M̩xici
082,Female,Bi/Pan,Under 18,Scotland
083,Other,Bi/Pan,18 to 30,USA
084,Male,Bi/Pan,18 to 30,Canada
085,Female,Straight,18 to 30,Sweden
086,Female,Bi/Pan,Under 18,USA
087,Female,Bi/Pan,18 to 30,South Korea
088,Male,Straight,18 to 30,USA
089,Male,Straight,Under 18,U.K
090,Other,Straight,Under 18,USA
091,Female,Bi/Pan,18 to 30,USA
092,Female,Straight,31 to 42,France
093,Female,Bi/Pan,18 to 30,France
094,Female,Bi/Pan,18 to 30,USA
095,Female,Bi/Pan,Under 18,
096,Female,Gay,Under 18,USA
097,Male,Bi/Pan,Under 18,USA
098,Female,Bi/Pan,18 to 30,UK
099,Female,Bi/Pan,18 to 30,Canada
100,Female,Gay,18 to 30,USA
