ID,Gender,Sexuality,Age,Country,Main,Faction,Server,Role,Class,Race,Max,Attracted,Type
045,Female,Bi/Pan,18 to 30,USA,Both equally,Alliance,PvE,DPS,Druid,Worgen,1,Both,Bi female
046,Female,Bi/Pan,Under 18,USA,Female,Horde,PvE;RP,DPS,Demon Hunter;Hunter;Rogue,Night Elf;Blood Elf,1,Both,Bi female
047,Other,Bi/Pan,18 to 30,usa,Both equally,Alliance,PvE,DPS,Warlock,Human,5,Both,Bi other
048,Male,Bi/Pan,18 to 30,USA,Female,Alliance,RP,Tank;Healer,Death Knight;Priest,Human;Pandaren,2,Both,Bi male
049,Other,Bi/Pan,18 to 30,USA,Both equally,Both equally,PvP,DPS,Death Knight;Warrior,Human;Blood Elf,4,Both,Bi other
050,Other,Bi/Pan,18 to 30,USA,Female,Horde,RP,DPS,Demon Hunter,Blood Elf,1,Both,Bi other
051,Male,Straight,18 to 30,,Male,Horde,RP,DPS;Tank,Death Knight;Demon Hunter;Paladin;Warlock,Blood Elf,11,Women,Straight man
052,Female,Bi/Pan,Under 18,The Netherlands,Female,Alliance,RP,DPS;Healer,Druid;Hunter;Mage,Human;Night Elf,7,Both,Bi female
053,Female,Bi/Pan,18 to 30,Finland,Female,Horde,PvE;RP,DPS;Tank,Death Knight;Demon Hunter;Monk;Paladin,Blood Elf;Goblin,2,Both,Bi female
054,Female,Bi/Pan,18 to 30,Norway,Female,Alliance,PvE,DPS,Druid;Mage;Paladin,Night Elf;Blood Elf,3,Both,Bi female
055,Male,Straight,18 to 30,Argentina,Male,Horde,PvP,DPS;Tank,Monk;Rogue;Warrior,Orc;Troll,0,Women,Straight man
056,Female,Straight,18 to 30,USA,Female,Alliance,PvE,DPS,Mage,Draenei,1,Men,Straight woman
057,Female,Straight,18 to 30,Belgium,Male,Horde,PvE;PvP;RP,DPS;Tank,Paladin;Warrior,Orc;Tauren;Blood Elf,3,Men,Straight woman
058,Male,Gay,18 to 30,Rom̢nia,Male,Horde,PvE,DPS,Mage;Monk;Shaman;Warlock,Orc,2,Men,Gay man
059,Male,Gay,Under 18,USA,Female,Alliance,RP,DPS,Hunter;Rogue,Human;Night Elf,2,Men,Gay man
060,Female,Gay,18 to 30,USA,Female,Alliance,RP,DPS,Hunter;Mage;Priest;Warlock,Human;Night Elf,1,Women,Gay woman
061,Female,Bi/Pan,18 to 30,usa,Female,Horde,PvE,Healer,Monk;Priest,Blood Elf,4,Both,Bi female
062,Other,Gay,Under 18,USA,Female,Alliance,PvE,DPS,Death Knight;Druid;Hunter,Night Elf;Worgen;Blood Elf,2,,Gay other
063,Female,Gay,18 to 30,USA,Female,Both equally,PvE,Healer,Death Knight;Druid;Priest;Rogue,Night Elf;Draenei;Undead;Blood Elf,2,Women,Gay woman
064,Female,Straight,31 to 42,USA,Female,Alliance,RP,DPS,Hunter,Human,1,Men,Straight woman
065,Male,Bi/Pan,18 to 30,Australia,Female,Alliance,RP,DPS;Healer,Priest;Warlock,Night Elf;Draenei,12,Both,Bi male
066,Female,Bi/Pan,18 to 30,,Female,Horde,RP,DPS,Warlock,Blood Elf,2,Both,Bi female
067,Female,Bi/Pan,18 to 30,Italy,Female,Horde,PvE,DPS,Death Knight,Undead,1,Both,Bi female
068,Male,Bi/Pan,Under 18,France,Female,Alliance,PvE,Tank,Warrior,Draenei,1,Both,Bi male
069,Female,Straight,Under 18,England,Female,Horde,PvE,DPS,Death Knight;Demon Hunter;Mage;Warlock,Undead;Blood Elf,2,Men,Straight woman
070,Other,Gay,18 to 30,Usa,Female,Horde,PvE;RP,DPS;Tank;Healer,Druid;Monk;Warlock,Troll;Blood Elf,3,,Gay other
071,Other,Gay,18 to 30,USA,Male,Horde,PvE,DPS,Death Knight;Mage;Paladin,Draenei;Blood Elf,5,,Gay other
072,Female,Bi/Pan,18 to 30,USA,Both equally,Both equally,PvE;RP,DPS;Tank;Healer,Demon Hunter;Druid;Hunter;Paladin;Priest,Night Elf;Draenei;Worgen;Blood Elf,5,Both,Bi female
073,Male,Bi/Pan,Under 18,United Kingdom,Both equally,Both equally,RP,DPS,Monk;Paladin,Worgen;Pandaren;Undead;Blood Elf,2,Both,Bi male
074,Female,Straight,Under 18,Canada,Female,Horde,PvP,DPS;Healer,Druid;Hunter;Mage,Tauren;Blood Elf,2,Men,Straight woman
075,Male,Bi/Pan,18 to 30,USA,Male,Alliance,PvE,Tank,Druid,Worgen,1,Both,Bi male
076,Female,Bi/Pan,18 to 30,USA,Female,Both equally,PvE,DPS;Healer,Hunter;Paladin;Rogue,Night Elf;Draenei,2,Both,Bi female
077,Female,Gay,18 to 30,USA,Female,Alliance,PvE,DPS;Tank,Death Knight,Human,1,Women,Gay woman
078,Female,Bi/Pan,31 to 42,USA,Female,Alliance,PvE,DPS,Mage,Human,6,Both,Bi female
079,Female,Straight,18 to 30,Philippines,Female,Horde,PvP,DPS;Tank;Healer,Death Knight;Priest;Warlock,Human;Night Elf;Worgen;Blood Elf,2,Men,Straight woman
080,Male,Gay,18 to 30,Finland,Male,Both equally,PvE;PvP,DPS;Healer,Druid,Draenei;Worgen;Tauren;Blood Elf,3,Men,Gay man
081,Female,Straight,18 to 30,M̩xici,Female,Alliance,PvP,DPS;Healer,Hunter;Priest;Warrior,Night Elf,2,Men,Straight woman
082,Female,Bi/Pan,Under 18,Scotland,Female,Both equally,RP,Tank,Death Knight;Rogue,Draenei;Blood Elf,4,Both,Bi female
083,Other,Bi/Pan,18 to 30,USA,Male,Horde,RP,DPS;Tank,Death Knight;Hunter,Night Elf;Worgen;Blood Elf,6,Both,Bi other
084,Male,Bi/Pan,18 to 30,Canada,Male,Horde,PvE,DPS;Tank,Demon Hunter;Hunter;Mage;Warlock,Blood Elf,7,Both,Bi male
085,Female,Straight,18 to 30,Sweden,Female,Both equally,PvE,DPS;Tank;Healer,Death Knight;Demon Hunter;Hunter;Paladin;Priest,Draenei;Worgen;Blood Elf,5,Men,Straight woman
086,Female,Bi/Pan,Under 18,USA,Female,Alliance,PvE,DPS,Paladin,Draenei,2,Both,Bi female
087,Female,Bi/Pan,18 to 30,South Korea,Female,Alliance,PvP,DPS,Hunter;Priest,Human;Draenei,3,Both,Bi female
088,Male,Straight,18 to 30,USA,Both equally,Alliance,PvE,DPS;Tank;Healer,Hunter;Mage;Monk;Priest;Shaman,Human;Night Elf,9,Women,Straight man
089,Male,Straight,Under 18,U.K,Male,Alliance,PvE;PvP,Healer,Paladin,Draenei,3,Women,Straight man
090,Other,Straight,Under 18,USA,Both equally,Both equally,RP,DPS,Demon Hunter;Druid;Hunter,Human;Night Elf;Blood Elf,2,,Straight other
091,Female,Bi/Pan,18 to 30,USA,Female,Horde,PvE;PvP,DPS;Healer,Druid;Paladin;Warlock,Night Elf;Draenei;Blood Elf,1,Both,Bi female
092,Female,Straight,31 to 42,France,Female,Alliance,PvE,Healer,Priest,Draenei,2,Men,Straight woman
093,Female,Bi/Pan,18 to 30,France,Female,Alliance,PvE,DPS,Druid,Night Elf,1,Both,Bi female
094,Female,Bi/Pan,18 to 30,USA,Female,Alliance,PvE,DPS,Rogue,Night Elf,0,Both,Bi female
095,Female,Bi/Pan,Under 18,,Female,Alliance,PvP,DPS,Druid,Night Elf,4,Both,Bi female
096,Female,Gay,Under 18,USA,Female,Horde,PvE,DPS;Tank;Healer,Death Knight;Druid;Hunter,Night Elf;Blood Elf,4,Women,Gay woman
097,Male,Bi/Pan,Under 18,USA,Female,Alliance,PvP;RP,DPS;Tank,Death Knight;Demon Hunter;Druid;Hunter,Night Elf;Draenei;Troll;Blood Elf,0,Both,Bi male
098,Female,Bi/Pan,18 to 30,UK,Female,Horde,PvP,DPS;Healer,Druid;Priest,Undead;Blood Elf,4,Both,Bi female
099,Female,Bi/Pan,18 to 30,Canada,Female,Alliance,RP,DPS,Monk;Paladin,Human;Pandaren,2,Both,Bi female
100,Female,Gay,18 to 30,USA,Female,Alliance,PvE,DPS;Healer,Hunter;Monk,Night Elf;Draenei,2,Women,Gay woman
